"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 12-May-2021","30 D % CHNG 
 12-Apr-2022"
"NIFTY 50","15,977.00","16,083.60","15,740.85","15,808.00","15,782.15","-25.85","-0.16",369135540,"274,539,532,606.54","18,604.45","14,985.85","7.52","-9.69"
"TATAMOTORS","387.00","419.35","387.00","372.30","404.00","31.70","8.51",71425747,"28,923,141,990.18","536.70","268.45","29.48","-6.21"
"SUNPHARMA","862.95","889.00","860.15","850.00","881.95","31.95","3.76",4870689,"4,288,008,474.93","967.05","652.70","27.63","-5.79"
"M&M","879.80","905.00","870.10","865.25","891.50","26.25","3.03",4956950,"4,426,258,933.00","979.00","671.15","19.96","2.70"
"HINDUNILVR","2,170.00","2,218.00","2,154.15","2,138.80","2,189.00","50.20","2.35",2057239,"4,517,223,679.03","2,859.30","1,901.55","-7.69","1.95"
"TITAN","2,056.15","2,154.00","2,056.15","2,048.55","2,096.15","47.60","2.32",2580348,"5,452,430,144.88","2,768.00","1,425.85","43.68","-15.02"
"UPL","774.00","795.00","772.10","764.95","780.50","15.55","2.03",3062695,"2,412,668,613.20","864.70","622.00","5.15","-4.53"
"ITC","254.95","260.85","254.50","252.90","258.00","5.10","2.02",11921627,"3,084,363,337.44","273.15","200.90","21.84","-4.06"
"HEROMOTOCO","2,414.95","2,500.00","2,414.95","2,401.20","2,445.55","44.35","1.85",691344,"1,705,829,099.04","3,090.00","2,146.85","-12.91","7.68"
"BRITANNIA","3,225.00","3,321.00","3,225.00","3,216.85","3,270.60","53.75","1.67",326757,"1,075,344,216.72","4,153.00","3,050.00","-6.37","-2.12"
"BAJAJ-AUTO","3,618.05","3,736.00","3,618.05","3,585.00","3,642.00","57.00","1.59",633218,"2,328,165,284.96","4,347.00","3,027.05","-5.37","-1.49"
"EICHERMOT","2,400.00","2,483.00","2,397.85","2,384.65","2,420.50","35.85","1.50",650616,"1,590,990,341.76","2,994.00","2,159.55","0.72","-2.36"
"RELIANCE","2,426.00","2,478.00","2,415.35","2,399.40","2,431.45","32.05","1.34",8910998,"21,846,737,356.68","2,856.15","1,906.00","25.26","-4.90"
"CIPLA","924.10","940.10","922.20","920.75","932.80","12.05","1.31",1734146,"1,616,969,754.78","1,083.00","850.00","3.38","-8.07"
"DIVISLAB","4,315.00","4,354.70","4,254.05","4,233.40","4,277.90","44.50","1.05",436997,"1,881,761,521.64","5,425.10","3,788.95","6.48","-4.85"
"COALINDIA","170.00","173.65","168.00","167.05","168.75","1.70","1.02",11590435,"1,982,775,715.45","209.00","132.75","14.92","-9.59"
"DRREDDY","3,899.40","3,979.00","3,890.50","3,880.00","3,918.85","38.85","1.00",218401,"861,214,111.27","5,614.60","3,654.00","-24.49","-8.72"
"NESTLEIND","16,490.00","16,562.30","16,304.90","16,220.00","16,380.90","160.90","0.99",55439,"910,756,327.12","20,609.15","16,126.75","-4.77","-10.77"
"ASIANPAINT","3,074.40","3,116.25","3,035.30","3,039.95","3,068.60","28.65","0.94",1121729,"3,451,605,002.16","3,590.00","2,530.00","10.43","-0.54"
"KOTAKBANK","1,785.00","1,795.00","1,756.00","1,760.90","1,777.00","16.10","0.91",2737022,"4,868,477,882.50","2,253.00","1,626.00","4.27","-"
"LT","1,530.00","1,574.90","1,502.00","1,526.15","1,536.50","10.35","0.68",4328846,"6,697,590,531.20","2,078.55","1,368.20","8.41","-12.85"
"HDFCLIFE","555.00","565.85","548.05","547.25","549.95","2.70","0.49",3154166,"1,752,959,296.16","775.65","497.05","-17.87","-2.50"
"POWERGRID","239.85","239.85","233.10","235.90","236.50","0.60","0.25",11305915,"2,670,004,886.40","248.35","167.15","3.26","2.96"
"INDUSINDBK","886.00","894.15","868.75","869.90","871.85","1.95","0.22",2932319,"2,587,624,901.55","1,242.00","811.50","-2.08","-11.29"
