"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 28-Apr-2021","30 D % CHNG 
 29-Mar-2022"
"NIFTY NEXT 50","40,511.05","40,653.25","40,160.35","41,225.65","40,354.25","-871.40","-2.11",273330713,"81,203,379,080.14","45,290.80","35,627.45","12.67","-5.68"
"PGHH","13,482.00","13,819.95","13,191.85","13,482.90","13,819.95","337.05","2.50",4635,"62,440,726.95","16,448.70","12,310.10","1.93","-4.81"
"ZOMATO","59.30","62.30","57.65","61.15","61.70","0.55","0.90",47189321,"2,774,260,181.59","169.00","57.65","-","-26.67"
"ADANITRANS","2,700.00","2,871.25","2,690.15","2,801.65","2,822.20","20.55","0.73",345791,"965,911,831.94","3,000.00","863.00","139.42","14.98"
"COLPAL","1,560.00","1,594.00","1,553.00","1,571.10","1,582.50","11.40","0.73",414530,"655,044,451.30","1,823.40","1,375.60","4.62","-0.37"
"HDFCAMC","1,940.00","1,986.25","1,918.80","1,950.40","1,960.40","10.00","0.51",504335,"988,057,828.55","3,365.00","1,918.80","-27.98","-14.37"
"ADANIGREEN","2,813.90","2,955.00","2,740.00","2,845.90","2,856.05","10.15","0.36",910667,"2,599,763,044.93","3,050.00","874.80","160.66","32.72"
"IOC","125.00","127.75","122.60","125.70","126.10","0.40","0.32",9120449,"1,140,694,556.43","141.50","91.80","33.32","2.19"
"MUTHOOTFIN","1,181.15","1,226.00","1,181.15","1,213.25","1,215.65","2.40","0.20",487348,"588,409,354.76","1,721.95","1,145.00","-0.07","-10.85"
"MCDOWELL-N","808.00","820.45","798.10","817.45","817.55","0.10","0.01",1177251,"958,035,091.29","1,019.95","526.00","49.17","-9.44"
"LUPIN","720.50","729.00","712.10","726.35","724.85","-1.50","-0.21",699658,"504,432,428.26","1,267.65","678.80","-39.51","-7.74"
"AMBUJACEM","360.55","372.35","360.55","366.35","365.55","-0.80","-0.22",5868878,"2,152,997,894.30","442.50","274.00","17.02","12.22"
"ADANIENT","2,210.00","2,262.00","2,200.00","2,255.40","2,247.50","-7.90","-0.35",1161579,"2,591,413,054.26","2,420.95","1,201.20","73.05","7.08"
"BANKBARODA","104.20","105.80","102.00","105.85","105.35","-0.50","-0.47",25132051,"2,613,984,624.51","122.70","69.85","48.76","-11.95"
"GAIL","158.60","161.00","157.40","161.35","160.55","-0.80","-0.50",7910314,"1,263,118,939.52","173.50","125.20","6.62","-0.31"
"ICICIPRULI","502.70","515.90","502.05","512.95","509.90","-3.05","-0.59",445626,"227,189,047.32","724.30","430.00","-9.20","-2.20"
"BANDHANBNK","311.00","322.05","307.80","320.60","318.50","-2.10","-0.66",7120346,"2,262,347,534.58","354.35","229.55","7.21","0.95"
"GODREJCP","754.80","769.95","747.40","762.05","756.90","-5.15","-0.68",891772,"676,498,239.20","1,138.00","660.05","7.69","-3.26"
"ZYDUSLIFE","337.00","340.35","332.10","340.65","338.20","-2.45","-0.72",1014773,"341,298,603.09","673.70","331.55","-","-8.38"
"ICICIGI","1,281.30","1,294.40","1,265.10","1,289.90","1,280.45","-9.45","-0.73",199042,"255,824,701.76","1,675.00","1,192.00","-11.62","-8.25"
"HAVELLS","1,225.55","1,253.75","1,205.25","1,249.10","1,239.15","-9.95","-0.80",1004903,"1,243,065,011.00","1,504.45","958.00","23.61","-0.85"
"PNB","33.95","34.15","33.40","34.25","33.95","-0.30","-0.88",36331439,"1,227,276,009.42","48.20","31.75","-6.62","-9.61"
"INDUSTOWER","197.95","204.00","193.30","202.10","200.00","-2.10","-1.04",8689544,"1,726,438,601.92","332.80","193.30","-21.88","-8.97"
"PAYTM","561.00","576.00","546.65","575.20","567.90","-7.30","-1.27",3140474,"1,759,356,344.28","1,955.00","521.00","-","-9.00"
"BAJAJHLDNG","5,029.00","5,053.05","4,901.00","5,084.65","5,013.00","-71.65","-1.41",47197,"235,370,495.06","6,598.00","3,410.20","42.43","-19.59"
"INDIGO","1,750.00","1,774.50","1,723.40","1,781.90","1,755.30","-26.60","-1.49",409633,"716,362,094.07","2,380.00","1,555.10","6.38","-11.87"
